text;classification
https://issues.apache.org/jira/browse/AMQ-3935 - always page in messages when browsing;non_debt
Optimize in-men cube building;non_debt
"GROOVY-5816 Add an ""encoding"" option for Groovydoc tool and Ant task";non_debt
AMBARI-5596. Jobs page: Selection of vertex in table should center vertex in UI (alexantonenko);non_debt
Bug 53145 - HTTP Sampler - function in path evaluated too early;non_debt
"Merge pull request #3094 from cloudant/use-key_docid
Fix ordering of page_size based pagination for views";non_debt
added throw new UnsupportedOperationException() for master-slave model;non_debt
TS-107: import from dev branch;non_debt
util: docstring of _sig_checker (#305);non_debt
[FLINK-8696] [shell scripts] Remove JobManager local mode from shell scripts;non_debt
try to add a unique serverID;non_debt
AMBARI-24620 Duplicate view of configurations in Add Service wizard;non_debt
"Merge pull request #106 from ahgittin/fixing-controller
Fixing controller";non_debt
"[TRAFODION-1742] Rework, misplaced parenthesis
A misplaced paranthesis caused the previous change to not work as expected.";non_debt
Merge branch 'jsfm-feature-0.16' of https://github.com/alibaba/weex into jsfm-feature-0.17;non_debt
Update README.md;non_debt
see role permissions;non_debt
updating the CHANGES.txt for multicore changes;non_debt
Merge branch 'cassandra-3.0' into cassandra-3.3;non_debt
"[Dubbo-3653] Enable etcd to support metadata center (#3943)
* Support etcd as metadata center
* Fix key format error for consul/redis and UT failure
* Fix UT failure
* Fix UT failure
* Fix UT failure";non_debt
"Use LOCAL_QUORUM for LWT operations at LOCAL_SERIAL
patch by Sankalp Kohli reviewed by jbellis for CASSANDRA-6495";non_debt
PARQUET-1556 Use try-with-resource in Apache Avro tests (#639);non_debt
Updated cep artifact folder names;non_debt
Docs: Adding documentation and translation chapter in dev guide;non_debt
"Migrate command `initnewcluster`
Descriptions of the changes in this PR:
#2046 
This closes #2047 from zymap/command-initnewcluster";non_debt
[CXF-5954] Adding JWS RSA and JWE AesHMacCbc JWK system tests;non_debt
new UI - disk offering page - implement updateDiskOffering action;non_debt
clang-format;non_debt
AMBARI-6045 Master components are missing. (atkach);non_debt
AMBARI-12927. RU: Falcon server restart failed during tar, need to add retries to command (Swapan Shridhar via alejandro);non_debt
for #1172, remove tracing for get connection and close connection;non_debt
[KARAF-5376] Woodstox doesn't like mixing access to underlying writer;non_debt
new UI - zone page - add domain in details tab.;non_debt
add javadoc @since for some methods;non_debt
GUACAMOLE-144: Fix path to LICENSE for Carlito font.;non_debt
Added some comments on CachedOutputStream;non_debt
"feat: add hook for dataset health check (#11970)
* feat: add hook for dataset health check
* add event log
* optimize datasource json data like certified data
* add unit test
* fix review comments
* extra code review comments";non_debt
"Merge pull request #336 from lukasnalezenec/protobuf
protobuf dependency version changed from 2.4.1 to 2.5.0";non_debt
GEODE-7157: Add fix for test case;non_debt
Bug 49862 - Improve SMTPSampler Request output.;non_debt
AMBARI-4469. Bulk Ops: Integrate maintenance mode. (onechiporenko);non_debt
put some docs into lazyTailArrayNode;non_debt
Upgrade Zipkin to version 2.20.1;non_debt
CAMEL-7221: Upgrade to Lucene 4.6.1;non_debt
ACCUMULO-86 fix up the LICENSE and NOTICE files;non_debt
Convert web-cluster examples etc (for interface+impl);non_debt
HADOOP-10466. Lower the log level in UserGroupInformation.  Contributed by Nicolas Liochon;non_debt
GROOVY-2429: Allow subclasses of XmlParser to customize creation of new Nodes;non_debt
bumped trunk to beta;non_debt
for #1205, remove sync for SQLExecutePrepareTemplate and recover sync for get connections on same data source, because data source map always use same hash sequence to iterator entries;non_debt
Fix error message for --print;non_debt
Merge remote-tracking branch 'origin/cassandra-2.0.0' into cassandra-2.0.0;non_debt
"TOBAGO-848: Move classes that shouldn't be used from applications into ""internal"" package.";non_debt
update release notes;non_debt
19189: fix bugs in SystemML - removed WELL1024;non_debt
KYLIN-669 add AdminLTE MIT License in LICENSE file;non_debt
tests: use fs factory for now;non_debt
AMBARI-18546. Part_2.BP format does not generate property oozie.service.JPAService.jdbc.url.(vbrodetskyi);non_debt
[BEAM-7949] Add time-based cache threshold support in the data service of the Python SDK harness.;non_debt
NIFI-4639: Updated PublishKafka 1.0 processor to use a fresh writer for each output record as well. This closes #2292.;non_debt
"Merge commit '6dc1745' into cassandra-3.0
* commit '6dc1745':
  Disable passing control to post-flush after flush failure to prevent data loss.";non_debt
fix #2410, add encrypt to other database;non_debt
Adding in isPublic property to beans and Service interface / utils for tenant isolation requirements;non_debt
[FLINK-11843] Add DispatcherRunnerImplNGFactory implementation;non_debt
"[SPARK-25533][CORE][WEBUI] AppSummary should hold the information about succeeded Jobs and completed stages only
## What changes were proposed in this pull request?
Currently, In the spark UI, when there are failed jobs or failed stages, display message for the completed jobs and completed stages are not consistent with the previous versions of spark.
Reason is because, AppSummary holds the information about all the jobs and stages. But, In the below code, it checks against the completedJobs and completedStages. So, AppSummary should hold only successful jobs and stages.
https://github.com/apache/spark/blob/66d29870c09e6050dd846336e596faaa8b0d14ad/core/src/main/scala/org/apache/spark/ui/jobs/AllJobsPage.scala#L306
 https://github.com/apache/spark/blob/66d29870c09e6050dd846336e596faaa8b0d14ad/core/src/main/scala/org/apache/spark/ui/jobs/AllStagesPage.scala#L119
So, we should  keep only completed jobs and stage information in the AppSummary, to make it consistent with Spark2.2
## How was this patch tested?
Test steps:
 bin/spark-shell
**Before fix:**
**After fix:**
Closes #22549 from shahidki31/SPARK-25533.";non_debt
"Change render_text to render( text => for sub postupdate
* traffic_ops/app/lib/UI/Server.pm
fixes #1238";non_debt
enablebool (#3056);non_debt
HIVE-17824 : msck repair table should drop the missing partitions from metastore (Janaki Lahorani, reviewed by Peter Vary, Alexander Kolbasov and Vihang Karajgaonkar);non_debt
AMBARI-5612. Unit tests for object_utils, date, ui_effects, updater. (Denis Buzhor via onechiporenko);non_debt
"[BEAM-7006] Fix some race conditions in sdf splitting.
* Splitting could be requested before operation started.
* An element could finish while we were splitting.";non_debt
HBASE-7838 HBase regionserver never stoping when running  (Damien Hardy);non_debt
[KARAF-1853] Align SNAPSHOT build number in the kar goal;non_debt
added comment for Transaction and nontransaction operator, changed the column name variable;non_debt
"Added a Heap-Slack parameter
This adds the option for users to define a fraction of the container memory that is not used for the JVM heap.
Also, some named parameters were moved out of being inner classes.";non_debt
Added test for ignite-2328.;non_debt
"THRIFT-738. java: TCompactProtocol throws RuntimeException when it can't identify a type identifier
This patch causes it to throw TProtocolException instead.";non_debt
trace dag ui seem good;non_debt
Coverity 1021954;non_debt
Fixes URISchema setFactory(..);non_debt
Update storm-elasticsearch documentation;non_debt
This closes #2104;non_debt
Expand erlang releases tested by Travis;non_debt
"GROOVY-6259: Allow to define the logger category name for the @Log
annotations";non_debt
Fixing class cast error and refining code in TopologyEventMessageListener;non_debt
[FLINK-12607][rest] Expose maxParallelism of jobs and vertices;non_debt
TS-3080: Adding stat for new tls sessions;non_debt
Sync Properties;non_debt
"NIFI-6880 Fix ranger assembly to exclude Java 11 related JARs
This closes #3892";non_debt
"[SPARK-30700][ML] NaiveBayesModel predict optimization
### What changes were proposed in this pull request?
var `negThetaSum` is always used together with `pi`, so we can add them at first
### Why are the changes needed?
only need to add one var `piMinusThetaSum`, instead of `pi` and `negThetaSum`
### Does this PR introduce any user-facing change?
No
### How was this patch tested?
existing testsuites
Closes #27427 from zhengruifeng/nb_predict.";non_debt
 HDFS-9737: libhdfs++: Create examples of consuming libhdfs++ (pt 2).  Contributed by Bob Hansen;non_debt
Merge branch 'apache-https-master' into jira/solr-8593;non_debt
[AIRFLOW-6937] Inline _get_simple_dags method in SchedulerJob (#7561);non_debt
redefine BufferServerController.;non_debt
JENA-1134: basic support for AnalyzingQueryParser;non_debt
throwing RestAPIException from the rest EP in place of ADCException;non_debt
Bumped to release version neo4j-tinkerpop-api-impl 0.7-3.2.3;non_debt
"[trace] Adapt trace util to compaction module (#3814)
Trace util is helpful for diagnosing compaction performance problems,
we can get trace log for base compaction like:
for cumulative compaction like:";non_debt
Adjusting header in libs.osgi/external/osgi-5.0-license.txt, org.osgi.compendium-4.2.0.jar is used now, not osgi.cmpn-4.2.jar.;non_debt
"[NETBEANS-1696] PHP 7.4 Support Arrow Functions 2.0
See https://wiki.php.net/rfc/arrow_functions_v2
- Fix ASTPHP5Parser.cup, ASTPHP5Scanner.flex, and Php5ColoringScanner.flex i.e. parser and lexers
- Add ArrowFunctionDeclaration as an ASTNode
- Add ArrowFunctionScope
- Add code templates for arrow functions
- Fix PHP74UnhandledError and UnusableTypesUnhandledError
- Fix GotoDeclaration and MarkOccurrences features
- Add ASTErrorExpression node to avoid that an ArrowFunctionDeclaration node is handled as an ASTError
- Add unit tests";non_debt
remove master and slave references from C++ API docs (#1140);non_debt
"[SPARK-12386][CORE] Fix NPE when spark.executor.port is set.
Closes #10339 from vanzin/SPARK-12386.";non_debt
[CAMEL-9659] Add more headers to resulting exchange;non_debt
Added ASF license.;non_debt
"ARROW-1553: [JAVA] Implement setInitialCapacity for MapWriter
 Implement setInitialCapacity for MapWriter and pass on this capacity during lazy creation of child vectors
cc @jacques-n , @StevenMPhillips
Closes #1113 from siddharthteotia/ARROW-1553 and squashes the following commits:
5a759be7 [siddharth] ARROW-1553:  Implement setInitialCapacity for MapWriter and pass on this capacity during lazy creation of child vectors";non_debt
"Merge pull request #1938 from pluskid/container
add ignore_label support for 2D softmax";non_debt
"Linear Regression:
- Return Null if no data has been seen
- static_cast for rebind() call from constructor";non_debt
"Fix handling counters in supercolumns when parsing schema
patch by Aleksey Yeschenko reviewed by Sylvain Lebresne for
CASSANDRA-10365";non_debt
[AIRFLOW-112] Change default DAG view from tree view to graph view;non_debt
"Merge branch '1684-feature-db-updates'
* 1684-feature-db-updates:
  Import couch_dbupdates from rcouch.";non_debt
AMBARI-2547. Security wizard: Successive refreshes at some point results in blank screen. (jaimin);non_debt
re generate site from template;non_debt
HBASE-20390-ADDENDUM-3: IMC Default Parameters for 2.0.0 (fix documentation);non_debt
"Merge pull request #3276 from govind-menon/master
Updates next release version to 2.3 for 2.2 release";non_debt
Merge remote-tracking branch 'upstream/dev' into dev;non_debt
Trya again;non_debt
"Start introduction of groovy-binary module
This module should basically do what remains in `assemble.gradle`:
it's about the end deliverables, which are the distribution zips,
sources, ...
It's modeled as a proper module so that we can publish it without
hacking into internal APIs.";non_debt
CLOUDSTACK-3427: UI > UCS manager > implement listUcsBlade API.;non_debt
Merge branch 'cassandra-3.0' into trunk;non_debt
"Merge pull request #752 from ma-xiao-guang-64/dev
prepare to support batch insert(insert)";non_debt
Merge branch 'master' of https://opensource.ncsa.illinois.edu/fisheye/git/dfdl.git;non_debt
AMBARI-22635: Addendum fix Ambari should create a dummy core-site.xml for Ranger plugins when namenode is not installed.;non_debt
Add dependency on freshclam for daemon;non_debt
SOLR-12090: Move DistribStateManager, NodeStateProvider and SolrCloudManager interfaces out of the autoscaling package;non_debt
Merge branch 'cassandra-2.1' into trunk;non_debt
# GG-7623 Fixed log task.;non_debt
"NIFI-2907 Fix Flow Schema Validation Errors
This closes #1587.";non_debt
HAWQ-792. Orca on causes different error message when insert null value to a not null col;non_debt
"ACCUMULO-3113 Increase the timeouts in testTimeout
Formatting also got fixed by eclipse. Should help stabilize
some failures that I was seeing from this test. It appears that
1 second was slightly too fast in some cases to get the cond mutation
committed.";non_debt
Add comments for #29.;non_debt
[CXF-1997] Update the location of where generates sources are output;non_debt
"[CARBONDATA-3351] Block bloom datamap creation on binary datatype column
Why this PR?
As per Binary Datatype design Bloom data-map creation on Binary datatype
column is not supported.
Handled the same.
This closes #3500";non_debt
"BigQueryTableRowIterator: elide columns with null values
As in 6a11a72f, this makes BigQueryIO.Read work in the
DirectPipelineRunner as it does in the DataflowPipelineRunner.
----Release Notes----
[]
-------------
MOE_MIGRATED_REVID=112496161";non_debt
Add dataseturn tag to TaskMetrics;non_debt
$self needs to be passed to these methods for dbix;non_debt
Improvements to the conda build (#2742);non_debt
Add updated invite form;non_debt
This closes #861;non_debt
Update CHANGES.md;non_debt
update company;non_debt
Merge [TRAFODION-2322] PR 811 Improve UPD STATS perf on long char cols;non_debt
fix test;non_debt
got detachedXXX itertors serializable and got Giraph working again. phew... thought I was about to go into a Hadoop-Hole. Now time to make DetachedXXX bad ass.;non_debt
"Moved test litNil7 from debug
This test now works properly
DFDL-199";non_debt
"Merge pull request #414 from mifoscontributer/MIFOSX-212-Test
Removing mandatory check for includeInBorrowerCycle for loan product";non_debt
"Merge pull request #189 from zhouxinyu/ROCKETMQ-270
[ROCKETMQ-270] Move flush position forward to first MappedFile whose start offset is non-zero";non_debt
"[BEAM-4056] Identify side inputs by transform id and local name
This is necessary to identify side inputs during portable pipeline
translation and execution.";non_debt
Upgrade Undertow to version 1.4.14.Final;non_debt
[FLINK-18160][scripts] Do not log about HADOOP_CONF_DIR if HADOOP_CLASSPATH is set;non_debt
