text;classification
"+1
Thanks @aokolnychyi!";non_debt
"ekhacoop@ welcome to the Apache Fineract community! It looks like you are trying to make your first contribution to this Git repository? However, this Pull Request is ""empty"" - there are no ""Files Changed"" (above).  I'm therefore closing this.  We look forward to receiving more contributions from you in the future!";non_debt
Build Success with Spark 2.1.0, Please check CI http://136.243.101.176:8080/job/ApacheCarbonPRBuilder2.1/3/;non_debt
Like setup, can probably do without the comments;non_debt
"can you change these params to `maxFailedTasks` and `maxBlacklistedExecutors`, and change the comment to:
This strategy adds an executor to the blacklist for _all_ tasks when the executor has too many task failures.  An executor is placed in the blacklist when there are more than [[maxFailedTasks]] failed tasks.  Furthermore, all executors in one node are put into the blacklist if there are more than [[maxBlacklistedExecutors]] blacklisted executors on one node.  The benefit of this strategy is that different taskSets can learn experience from other taskSet to avoid allocating tasks on problematic executors.";non_debt
Build Success with Spark 2.1.0, Please check CI http://136.243.101.176:8080/job/ApacheCarbonPRBuilder2.1/951/;non_debt
"  [Test build #24335 has finished](https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/24335/consoleFull) for   PR 3649 at commit [`26aa58f`](https://github.com/apache/spark/commit/26aa58f951df85c279da844775dbee9d7a0953ff).
- This patch **passes all tests**.
- This patch merges cleanly.
- This patch adds the following public classes _(experimental)_:
  - `implicit class StringToSymbol(val sc: StringContext) extends AnyVal`";non_debt
run cpp tests;non_debt
" * This patch passes all tests.
 * This patch merges cleanly.
 * This patch adds the following public classes _(experimental)_:
  * `trait DataWritingCommand extends Command `
  * `case class DataWritingCommandExec(cmd: DataWritingCommand, children: Seq[SparkPlan])`";non_debt
@ankkhedia Is this good to go?;non_debt
"Okay, I get you. 
Wonder if we can find a solution in between. For eg. UUIDString is not a typedef, but publicly inherits SmallString, constructors are private and ID (where we create those) is a friend class?";non_debt
"# [Codecov](https://codecov.io/gh/apache/hudi/pull/1469?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/hudi/pull/1469?src=pr&el=continue).";non_debt
